CMDLINE python countless3d.py
MEM 370.949219 1517462730.9019
MEM 396.726562 1517462731.0023
MEM 406.761719 1517462731.1027
MEM 343.371094 1517462731.2030
MEM 375.144531 1517462731.3034
MEM 359.144531 1517462731.4038
MEM 375.144531 1517462731.5041
MEM 364.949219 1517462731.6045
MEM 386.949219 1517462731.7049
MEM 398.761719 1517462731.8053
MEM 375.371094 1517462731.9056
MEM 372.914062 1517462732.0060
MEM 359.144531 1517462732.1064
MEM 375.144531 1517462732.2068
MEM 370.949219 1517462732.3071
MEM 396.726562 1517462732.4075
MEM 402.761719 1517462732.5079
MEM 375.371094 1517462732.6083
MEM 375.144531 1517462732.7086
MEM 359.144531 1517462732.8090
MEM 375.144531 1517462732.9095
MEM 372.949219 1517462733.0098
MEM 394.726562 1517462733.1102
MEM 400.761719 1517462733.2106
MEM 375.371094 1517462733.3109
MEM 370.914062 1517462733.4113
MEM 359.144531 1517462733.5117
MEM 375.144531 1517462733.6121
MEM 364.949219 1517462733.7124
MEM 390.949219 1517462733.8128
MEM 400.761719 1517462733.9132
MEM 375.371094 1517462734.0136
MEM 374.914062 1517462734.1140
MEM 359.144531 1517462734.2144
MEM 375.179688 1517462734.3148
MEM 406.992188 1517462734.4151
MEM 407.214844 1517462734.5155
MEM 407.214844 1517462734.6159
MEM 394.726562 1517462734.7163
MEM 375.144531 1517462734.8167
MEM 407.214844 1517462734.9171
MEM 407.214844 1517462735.0175
MEM 407.214844 1517462735.1179
MEM 388.949219 1517462735.2182
MEM 375.144531 1517462735.3186
MEM 359.371094 1517462735.4190
MEM 407.214844 1517462735.5194
MEM 407.214844 1517462735.6197
MEM 398.726562 1517462735.7201
MEM 375.144531 1517462735.8205
MEM 407.214844 1517462735.9209
MEM 407.214844 1517462736.0213
MEM 407.214844 1517462736.1216
MEM 396.726562 1517462736.2220
MEM 375.144531 1517462736.3224
MEM 360.398438 1517462736.4228
MEM 407.214844 1517462736.5232
MEM 407.214844 1517462736.6236
MEM 388.949219 1517462736.7240
MEM 375.144531 1517462736.8243
MEM 407.214844 1517462736.9247
MEM 407.214844 1517462737.0251
MEM 407.214844 1517462737.1255
MEM 375.660156 1517462737.2259
MEM 359.371094 1517462737.3263
MEM 407.214844 1517462737.4266
MEM 407.214844 1517462737.5271
MEM 407.214844 1517462737.6275
MEM 327.371094 1517462737.7279
MEM 391.250000 1517462737.8283
MEM 391.179688 1517462737.9286
MEM 359.371094 1517462738.0290
MEM 375.144531 1517462738.1294
MEM 375.144531 1517462738.2298
MEM 380.949219 1517462738.3301
MEM 391.179688 1517462738.4306
MEM 391.179688 1517462738.5310
MEM 359.144531 1517462738.6313
MEM 327.371094 1517462738.7317
MEM 359.144531 1517462738.8320
MEM 375.144531 1517462738.9324
MEM 390.761719 1517462739.0328
MEM 404.972656 1517462739.1332
MEM 366.914062 1517462739.2335
MEM 359.179688 1517462739.3339
MEM 375.144531 1517462739.4344
MEM 378.761719 1517462739.5347
MEM 406.972656 1517462739.6351
MEM 368.914062 1517462739.7354
MEM 359.179688 1517462739.8358
MEM 375.144531 1517462739.9362
MEM 375.988281 1517462740.0365
MEM 398.726562 1517462740.1369
MEM 406.796875 1517462740.2373
MEM 332.914062 1517462740.3377
MEM 375.144531 1517462740.4380
MEM 359.695312 1517462740.5384
MEM 375.144531 1517462740.6388
MEM 392.796875 1517462740.7391
MEM 375.371094 1517462740.8395
MEM 374.914062 1517462740.9399
MEM 359.179688 1517462741.0402
MEM 375.144531 1517462741.1406
MEM 368.972656 1517462741.2409
MEM 384.949219 1517462741.3413
MEM 404.796875 1517462741.4416
MEM 375.371094 1517462741.5420
MEM 375.144531 1517462741.6424
MEM 359.179688 1517462741.7427
MEM 375.144531 1517462741.8431
MEM 391.765625 1517462741.9435
MEM 404.972656 1517462742.0438
MEM 362.914062 1517462742.1442
MEM 352.949219 1517462742.2446
MEM 375.144531 1517462742.3449
MEM 364.726562 1517462742.4453
MEM 375.144531 1517462742.5456
MEM 400.796875 1517462742.6460
MEM 375.371094 1517462742.7464
MEM 375.144531 1517462742.8468
MEM 359.179688 1517462742.9472
MEM 375.144531 1517462743.0476
MEM 372.972656 1517462743.1479
MEM 400.972656 1517462743.2483
MEM 359.371094 1517462743.3487
MEM 354.949219 1517462743.4490
MEM 375.144531 1517462743.5494
MEM 359.695312 1517462743.6497
MEM 375.144531 1517462743.7501
MEM 384.761719 1517462743.8505
MEM 406.972656 1517462743.9509
MEM 368.914062 1517462744.0512
MEM 354.949219 1517462744.1516
MEM 375.144531 1517462744.2520
MEM 360.726562 1517462744.3523
MEM 375.402344 1517462744.4527
MEM 396.796875 1517462744.5530
MEM 375.371094 1517462744.6534
MEM 374.726562 1517462744.7538
MEM 407.027344 1517462744.8542
MEM 407.214844 1517462744.9546
MEM 407.214844 1517462745.0550
MEM 380.949219 1517462745.1553
MEM 374.914062 1517462745.2557
MEM 407.214844 1517462745.3561
MEM 407.214844 1517462745.4565
